! This profile dataset was generated at ECMWF by Marco Matricardi, April 2008.
! Details on the profile dataset can be found in:
! Marco Matricardi, 2008, "The generation of RTTOV regression
! coefficients for IASI and AIRS using a new profile training set and a new
! line-by-line database", ECMWF Technical memorandum No. 564.
! http://www.ecmwf.int/publications/library/ecpublications/_pdf/tm/501-600/tm564.pdf
!
!
!
!  ECMWF 83 diverse profiles on 101 levels
!  Profile 81 is an envelope of minimum values
!  Profile 82 is an envelope of maximum values
!  Profile 83 is the mean profile
!  Format:
!  Profile number
!  Year     Month     Day     Latitude     Longitude     Surface Pressure     Land(1)/Sea(0) mask
!  P(hPa)         T(K)           Wv(ppmv)       CO2(ppmv)      O3(ppmv)       N2O(ppmv)      CO(ppmv)       CH4(ppmv)
Profile     1
   2007      2        20        57.00200   -68.80000     977.38452             0.93520
   0.234526E+02   0.218294E+03   0.338602E+01   0.375726E+03   0.509012E+01   0.216050E+00   0.870348E-02   0.151187E+01
   0.261829E+02   0.216751E+03   0.321740E+01   0.375887E+03   0.434708E+01   0.226150E+00   0.857364E-02   0.151331E+01
   0.291210E+02   0.216355E+03   0.306911E+01   0.376068E+03   0.382226E+01   0.236730E+00   0.845837E-02   0.153377E+01
   0.322744E+02   0.216208E+03   0.294801E+01   0.376349E+03   0.341477E+01   0.246590E+00   0.860658E-02   0.155574E+01
   0.356505E+02   0.215714E+03   0.286315E+01   0.376650E+03   0.303070E+01   0.257780E+00   0.876815E-02   0.157925E+01
   0.392566E+02   0.213958E+03   0.282678E+01   0.376972E+03   0.262582E+01   0.268860E+00   0.909389E-02   0.160437E+01
   0.431001E+02   0.210721E+03   0.282230E+01   0.377316E+03   0.226660E+01   0.279250E+00   0.946082E-02   0.163352E+01
   0.471882E+02   0.208125E+03   0.282849E+01   0.377639E+03   0.201260E+01   0.289640E+00   0.991463E-02   0.166161E+01
   0.515278E+02   0.207011E+03   0.283427E+01   0.377962E+03   0.182728E+01   0.299220E+00   0.104431E-01   0.168813E+01
   0.561260E+02   0.206558E+03   0.284709E+01   0.378424E+03   0.164865E+01   0.307750E+00   0.113907E-01   0.171252E+01
   0.609895E+02   0.204830E+03   0.289933E+01   0.379171E+03   0.141162E+01   0.311220E+00   0.133839E-01   0.173417E+01
   0.661253E+02   0.200864E+03   0.307212E+01   0.379960E+03   0.107556E+01   0.314480E+00   0.158684E-01   0.174231E+01
   0.715398E+02   0.196921E+03   0.347152E+01   0.381149E+03   0.721699E+00   0.317450E+00   0.202031E-01   0.175089E+01
   0.772396E+02   0.195924E+03   0.401249E+01   0.382439E+03   0.514412E+00   0.320070E+00   0.262239E-01   0.175992E+01
   0.832310E+02   0.196074E+03   0.463589E+01   0.383386E+03   0.383712E+00   0.322260E+00   0.321584E-01   0.176941E+01
   0.895204E+02   0.196494E+03   0.537820E+01   0.383904E+03   0.277536E+00   0.323940E+00   0.367102E-01   0.177938E+01
   0.961138E+02   0.197200E+03   0.619785E+01   0.384438E+03   0.214190E+00   0.325020E+00   0.420931E-01   0.177999E+01
   0.103017E+03   0.198465E+03   0.676255E+01   0.384690E+03   0.190815E+00   0.325410E+00   0.450696E-01   0.178060E+01
   0.110237E+03   0.200107E+03   0.775120E+01   0.384954E+03   0.175150E+00   0.325410E+00   0.484076E-01   0.178123E+01
   0.117778E+03   0.201937E+03   0.111807E+02   0.385142E+03   0.157785E+00   0.325410E+00   0.507825E-01   0.178204E+01
   0.125646E+03   0.204087E+03   0.191701E+02   0.385276E+03   0.140718E+00   0.325410E+00   0.523998E-01   0.178298E+01
   0.133846E+03   0.206612E+03   0.250600E+02   0.385400E+03   0.127474E+00   0.325410E+00   0.539063E-01   0.178399E+01
   0.142385E+03   0.209291E+03   0.218997E+02   0.385461E+03   0.119832E+00   0.325410E+00   0.544907E-01   0.178517E+01
   0.151266E+03   0.211951E+03   0.198893E+02   0.385525E+03   0.112822E+00   0.325410E+00   0.551053E-01   0.178639E+01
   0.160496E+03   0.214591E+03   0.223321E+02   0.385513E+03   0.104761E+00   0.325410E+00   0.550788E-01   0.178711E+01
   0.170078E+03   0.217197E+03   0.302207E+02   0.385486E+03   0.969213E-01   0.325410E+00   0.549117E-01   0.178774E+01
   0.180018E+03   0.219758E+03   0.479480E+02   0.385393E+03   0.903320E-01   0.325410E+00   0.546243E-01   0.178786E+01
   0.190320E+03   0.222325E+03   0.779051E+02   0.385236E+03   0.850084E-01   0.325410E+00   0.542211E-01   0.178748E+01
   0.200989E+03   0.224966E+03   0.110927E+03   0.385089E+03   0.806455E-01   0.325410E+00   0.539073E-01   0.178698E+01
