! $Id: diverse_52profiles_101L.dat,v 1.2 2003/07/23 14:10:03 paulv Exp $
! $Revision: 1.2 $
!
!  ECMWF 52 diverse profiles from 60L set 
!  Prof50 = dry test / Prof51 = moist test / Prof52 = mean 
! Number Date/Time    Lat            Long            Ps(hPa)     Land fraction
!    P(hPa)           T(degK)         Wv(kg/kg)     Ozone(kg/kg)
#01 1993091512    0.241073E+02    0.382500E+02    0.972238E+03    0.686249E+00
    0.374724E+03    0.230680E+03    0.528991E-04    0.134805E-06
    0.390892E+03    0.231902E+03    0.808430E-04    0.138794E-06
    0.407474E+03    0.233281E+03    0.112987E-03    0.139615E-06
    0.424470E+03    0.234745E+03    0.150501E-03    0.139145E-06
    0.441882E+03    0.236271E+03    0.192142E-03    0.137656E-06
    0.459712E+03    0.237812E+03    0.237649E-03    0.136351E-06
    0.477961E+03    0.239366E+03    0.286711E-03    0.135216E-06
    0.496630E+03    0.240964E+03    0.342087E-03    0.133245E-06
    0.515720E+03    0.242598E+03    0.402817E-03    0.130556E-06
    0.535232E+03    0.244199E+03    0.466967E-03    0.125903E-06
    0.555167E+03    0.245771E+03    0.532863E-03    0.120065E-06
    0.575525E+03    0.247219E+03    0.610292E-03    0.114009E-06
    0.596306E+03    0.248616E+03    0.690351E-03    0.107952E-06
    0.617511E+03    0.249530E+03    0.730546E-03    0.102959E-06
    0.639140E+03    0.250522E+03    0.778654E-03    0.980611E-07
    0.661192E+03    0.251705E+03    0.845493E-03    0.932727E-07
    0.683667E+03    0.252936E+03    0.923836E-03    0.882046E-07
    0.706565E+03    0.254163E+03    0.100684E-02    0.833245E-07
    0.729886E+03    0.255319E+03    0.109120E-02    0.795698E-07
    0.753627E+03    0.256858E+03    0.123003E-02    0.760182E-07
    0.777789E+03    0.258525E+03    0.139833E-02    0.722147E-07
    0.802371E+03    0.260191E+03    0.158514E-02    0.670083E-07
    0.827371E+03    0.261828E+03    0.178968E-02    0.577531E-07
    0.852788E+03    0.263731E+03    0.206406E-02    0.418697E-07
    0.878620E+03    0.265672E+03    0.237887E-02    0.223338E-07
    0.904866E+03    0.267749E+03    0.275665E-02    0.767229E-08
    0.931523E+03    0.269977E+03    0.310309E-02    0.217583E-08
    0.958591E+03    0.272230E+03    0.325150E-02    0.147299E-07
    0.986066E+03    0.273356E+03    0.338796E-02    0.235918E-07
    0.101395E+04    0.273356E+03    0.329458E-02    0.235918E-07
    0.104223E+04    0.273356E+03    0.320497E-02    0.235918E-07
    0.107092E+04    0.273356E+03    0.311894E-02    0.235918E-07
    0.110000E+04    0.273356E+03    0.303630E-02    0.235918E-07
#03 1993121512    0.801708E+02    0.125000E+03    0.104936E+04    0.000000E+00
    0.500000E-02    0.200384E+03    0.100000E-05    0.123296E-05
